timestamp,fx,fy,cx,cy,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
3648922845,592.8307,592.96454,374.1741,203.55836,0.032498598,-0.00048229843,0.9994724,0.0,0.9472686,0.31897283,-0.030647546,0.0,-0.31878933,0.9477646,0.0108229,0.0,-0.020558,-0.45339996,0.586265,1.0
3649256044,592.8307,592.96454,374.1741,203.55836,0.034126222,-0.0028236136,0.9994143,0.0,0.948782,0.31435716,-0.03150949,0.0,-0.31408387,0.9493018,0.013406813,0.0,-0.019851536,-0.45747238,0.58491725,1.0
3649589244,592.8307,592.96454,374.1741,203.55836,0.038601547,-0.004912045,0.99924326,0.0,0.9516711,0.30508924,-0.035264134,0.0,-0.30468512,0.952312,0.016451512,0.0,-0.019307107,-0.46189827,0.5835166,1.0
3649922442,592.8307,592.96454,374.1741,203.55836,0.042705476,-0.008081265,0.9990563,0.0,0.9538961,0.29767632,-0.03836739,0.0,-0.29708502,0.9546337,0.020420952,0.0,-0.018309891,-0.46631765,0.58220184,1.0
3650255641,592.8307,592.96454,374.1741,203.55836,0.04429549,-0.01165894,0.99895144,0.0,0.9560434,0.29062197,-0.039001375,0.0,-0.28986228,0.95676816,0.024019647,0.0,-0.01711762,-0.4707701,0.5811647,1.0
3650588840,592.8307,592.96454,374.1741,203.55836,0.04326576,-0.014742881,0.99895537,0.0,0.9590079,0.28090373,-0.03739032,0.0,-0.28005892,0.95962393,0.026292043,0.0,-0.015879884,-0.47544757,0.58050835,1.0
3650922038,592.8307,592.96454,374.1741,203.55836,0.042176276,-0.01701999,0.99896616,0.0,0.9611025,0.27384827,-0.035912037,0.0,-0.2729538,0.9616235,0.027907789,0.0,-0.014095545,-0.48015165,0.5799694,1.0
3651255237,592.8307,592.96454,374.1741,203.55836,0.041896492,-0.019217122,0.9989377,0.0,0.9629638,0.26731798,-0.03524545,0.0,-0.26635656,0.96341765,0.02970507,0.0,-0.012196615,-0.48496372,0.5793528,1.0
3651588435,592.8307,592.96454,374.1741,203.55836,0.042214215,-0.021602869,0.99887604,0.0,0.9657483,0.25707582,-0.035254717,0.0,-0.25602505,0.9661507,0.031715,0.0,-0.010740846,-0.48982048,0.5786939,1.0
3651921634,592.8307,592.96454,374.1741,203.55836,0.041718543,-0.023608945,0.99885064,0.0,0.9681839,0.24784055,-0.034579903,0.0,-0.24673933,0.968514,0.033197243,0.0,-0.009248331,-0.49427444,0.5781672,1.0
3652254833,592.8307,592.96454,374.1741,203.55836,0.039854378,-0.024368513,0.9989095,0.0,0.9696841,0.24215561,-0.032781333,0.0,-0.2410925,0.9699325,0.03328063,0.0,-0.0075642318,-0.49832696,0.57773846,1.0
3652588032,591.98737,592.1254,374.17032,203.54279,0.038258612,-0.024008378,0.99898016,0.0,0.97149664,0.23494536,-0.031559974,0.0,-0.23394781,0.971713,0.03231245,0.0,-0.0064172,-0.5018551,0.57731164,1.0
3652921231,591.35474,591.4962,374.1675,203.53108,0.03767848,-0.022849023,0.9990296,0.0,0.97354496,0.22630933,-0.031541586,0.0,-0.22536899,0.9737885,0.030771442,0.0,-0.005751595,-0.50474256,0.5768346,1.0
