timestamp,calibration valid,combined valid,combined origin x,combined origin y,combined origin z,combined direction x,combined direction y,combined direction z,left valid,left origin x,left origin y,left origin z,left direction x,left direction y,left direction z,right valid,right origin x,right origin y,right origin z,right direction x,right direction y,right direction z,left openness valid,left openness value,right openness valid,right openness value,vergence distance valid,vergence distance value,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
3633332129,True,True,0.039282728,-0.04647613,-0.043080643,0.23680404,-0.077629834,0.96845096,True,0.038402192,-0.016268527,-0.041317903,0.23741102,-0.11944991,0.96403724,True,0.04039244,-0.08454557,-0.04530214,0.2354425,-0.024729937,0.97157353,False,0.0,False,0.0,False,0.0,-0.79705286,-0.60214055,0.046190143,0.0,-0.035693526,-0.02938044,-0.9989309,0.0,0.60285383,-0.79784936,0.0019251704,0.0,-0.053884372,-0.3334955,0.45336354,1.0
3633665469,True,True,0.03914986,-0.053640552,-0.04334294,0.18231285,-0.051558305,0.98188776,True,0.038070753,-0.016126009,-0.04111821,0.1833867,-0.10811113,0.97707796,True,0.040032595,-0.08432806,-0.045162804,0.18099767,-0.005173531,0.9834699,False,0.0,False,0.0,False,0.0,-0.8120513,-0.5820021,0.042969584,0.0,-0.035066485,-0.02483511,-0.99907637,0.0,0.5825317,-0.81280804,-0.00024139881,0.0,-0.057796404,-0.33868557,0.4645974,1.0
3633998809,True,True,0.038891748,-0.051594324,-0.04312761,0.17299129,-0.047792397,0.9837631,True,0.037606187,-0.01592199,-0.04096404,0.15681353,-0.08964595,0.9835513,True,0.039691355,-0.084165,-0.04491792,0.15402496,0.009617505,0.9880202,False,0.0,False,0.0,False,0.0,-0.82705665,-0.56078947,0.0386326,0.0,-0.033535212,-0.019379973,-0.9992496,0.0,0.5611174,-0.8277316,-0.002777934,0.0,-0.060123518,-0.34189436,0.47480014,1.0
3634332150,True,False,0.038891748,-0.051594324,-0.04312761,0.17299129,-0.047792397,0.9837631,True,0.037677437,-0.015809963,-0.041213628,0.14525108,-0.08410736,0.9858135,True,0.039739832,-0.084053345,-0.044971798,0.1423199,0.016200956,0.9896882,False,0.0,False,0.0,False,0.0,-0.83329785,-0.5519335,0.031377226,0.0,-0.02884382,-0.013273358,-0.9994959,0.0,0.5520717,-0.8337826,-0.0048594475,0.0,-0.060172364,-0.34316316,0.48397866,1.0
3634665489,True,True,0.038869444,-0.052039195,-0.043146037,0.15944839,-0.040829625,0.9863615,True,0.037747037,-0.015809944,-0.04101436,0.1366217,-0.08146712,0.9872677,True,0.03972902,-0.084068656,-0.045002107,0.13347065,0.016503409,0.9909154,False,0.0,False,0.0,False,0.0,-0.84056175,-0.541057,0.02670163,0.0,-0.02628547,-0.008496046,-0.9996183,0.0,0.5410774,-0.84094286,-0.0070804358,0.0,-0.060001686,-0.34419468,0.49225417,1.0
3635665509,True,True,0.03891267,-0.052220486,-0.04311934,0.1338171,-0.010621322,0.99094903,True,0.038016886,-0.015568927,-0.04121288,0.12719843,-0.051542647,0.99053717,True,0.04012071,-0.08378388,-0.044874392,0.12360119,0.05345031,0.99089146,False,0.0,False,0.0,False,0.0,-0.85001636,-0.52645063,0.017947316,0.0,-0.021663666,0.000895381,-0.9997649,0.0,0.5263108,-0.8502052,-0.012166023,0.0,-0.056290656,-0.35044673,0.5134743,1.0
3635998850,True,True,0.03917448,-0.05623354,-0.043656163,0.12885615,-0.0876835,0.9877791,True,0.038045634,-0.016467657,-0.04132218,0.129531,-0.14768903,0.9805151,True,0.039981376,-0.08465804,-0.045324482,0.12808535,-0.044595364,0.9907601,False,0.0,False,0.0,False,0.0,-0.85841596,-0.5128411,0.010815769,0.0,-0.014436021,0.003075838,-0.9998913,0.0,0.51275194,-0.8584783,-0.010044217,0.0,-0.05585049,-0.35520247,0.5203558,1.0
3636332189,True,True,0.038999055,-0.05621329,-0.0435423,0.12217945,-0.08363594,0.98897773,True,0.03764498,-0.01628186,-0.041219834,0.1107008,-0.1382632,0.9841894,True,0.039658297,-0.08445635,-0.044992466,0.10883337,-0.031907666,0.9935478,False,0.0,False,0.0,False,0.0,-0.86875796,-0.4951898,0.0068619996,0.0,-0.009883925,0.003483653,-0.99994516,0.0,0.4951387,-0.8687779,-0.00792098,0.0,-0.05610825,-0.36009526,0.526575,1.0
3636665529,True,True,0.0389098,-0.055164844,-0.043454833,0.11498713,-0.07967606,0.9901664,True,0.037619196,-0.016187577,-0.041282155,0.10318475,-0.1284003,0.98633987,True,0.03967606,-0.084398724,-0.04497703,0.10116931,-0.025174161,0.9945507,False,0.0,False,0.0,False,0.0,-0.8748778,-0.4843104,0.0057100654,0.0,-0.00870578,0.003936827,-0.99995446,0.0,0.48426577,-0.8748876,-0.0076607466,0.0,-0.056195468,-0.36432573,0.5321345,1.0
3637332209,True,True,0.038756333,-0.05192019,-0.043254953,0.100967504,-0.07271722,0.99222857,True,0.037510283,-0.016112853,-0.041169118,0.08852701,-0.116966136,0.9891825,True,0.0395588,-0.08427355,-0.044886477,0.0862948,-0.008095125,0.9962368,False,0.0,False,0.0,False,0.0,-0.8898003,-0.45634884,0.000662446,0.0,-0.00484626,0.00799799,-0.9999561,0.0,0.45632356,-0.88976485,-0.0093278885,0.0,-0.057707652,-0.37248006,0.5420151,1.0
3637665549,True,True,0.038701866,-0.051180016,-0.04320956,0.091687605,-0.069477275,0.99336094,True,0.037515353,-0.016095508,-0.041196078,0.07781239,-0.111417,0.9907228,True,0.039502658,-0.084317945,-0.045079652,0.07550463,-0.009802171,0.99709725,False,0.0,False,0.0,False,0.0,-0.8967967,-0.44243246,-0.0030026436,0.0,-0.0019790828,0.010797858,-0.99993974,0.0,0.44243824,-0.8967368,-0.010559082,0.0,-0.05810596,-0.376248,0.5464029,1.0
3638332228,True,True,0.038580082,-0.051309165,-0.04321593,0.07123988,-0.05750777,0.9958,True,0.037017535,-0.016014326,-0.041171655,0.057839975,-0.10264653,0.99303484,True,0.039078746,-0.08424116,-0.044971704,0.055353507,-0.0007669109,0.99846655,False,0.0,False,0.0,False,0.0,-0.91160274,-0.41098297,-0.00856632,0.0,0.002301231,0.01573646,-0.9998736,0.0,0.41106582,-0.9115072,-0.013399601,0.0,-0.058261722,-0.38109386,0.55345523,1.0
3638665568,True,True,0.038543753,-0.051135186,-0.0432044,0.066908106,-0.052683875,0.9963672,True,0.03723605,-0.015987594,-0.04127971,0.06458307,-0.099970914,0.99289227,True,0.039289977,-0.08415596,-0.044980258,0.062340043,0.008755205,0.99801654,False,0.0,False,0.0,False,0.0,-0.91324615,-0.4073345,-0.007765904,0.0,0.0017999113,0.015027463,-0.9998855,0.0,0.40740454,-0.9131555,-0.012990832,0.0,-0.056359738,-0.3814868,0.5562023,1.0
3639332249,True,True,0.038431298,-0.049704418,-0.04312644,0.059522256,-0.05611659,0.99664825,True,0.03726053,-0.01611749,-0.04154427,0.04860955,-0.118511096,0.9917622,True,0.039387412,-0.08426569,-0.045104127,0.04570575,-0.008101413,0.9989221,False,0.0,False,0.0,False,0.0,-0.9166119,-0.39976895,-0.002705589,0.0,-0.0026576966,0.012861073,-0.99991375,0.0,0.3997693,-0.91652566,-0.012851,0.0,-0.051363274,-0.38277823,0.560612,1.0
3639665589,True,True,0.03842055,-0.049801685,-0.04315427,0.055379897,-0.05417604,0.99699444,True,0.037457682,-0.016132822,-0.041557766,0.054349534,-0.118585065,0.9914554,True,0.03954807,-0.08429061,-0.04512724,0.05161487,-0.009155983,0.9986251,False,0.0,False,0.0,False,0.0,-0.91903996,-0.39416236,-0.0012127459,0.0,-0.004369721,0.013265073,-0.9999025,0.0,0.39414,-0.9189451,-0.013913512,0.0,-0.04933031,-0.38420528,0.56247884,1.0
