timestamp,fx,fy,cx,cy,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
1891126844,589.03534,589.1886,374.15714,203.48814,-0.012206495,-0.014544427,-0.9998223,0.0,-0.2737969,0.96172905,-0.010647872,0.0,0.9617113,0.2736175,-0.015719712,0.0,-0.5317663,0.5043509,0.58656675,1.0
1891460044,589.03534,589.1886,374.15714,203.48814,-0.05155231,-0.028217006,-0.9982734,0.0,-0.2652223,0.96409255,-0.013554901,0.0,0.96280915,0.26406515,-0.057183623,0.0,-0.55352986,0.50607723,0.58880824,1.0
1891793243,589.03534,589.1886,374.15714,203.48814,-0.083624974,-0.03949792,-0.99571645,0.0,-0.25967357,0.9655563,-0.016493488,0.0,0.96206975,0.25718108,-0.0909999,0.0,-0.57524407,0.5077212,0.59220964,1.0
1892126443,589.03534,589.1886,374.15714,203.48814,-0.11194195,-0.0441375,-0.9927369,0.0,-0.2555169,0.96670115,-0.01416811,0.0,0.9603036,0.25207433,-0.11949071,0.0,-0.59758604,0.5089014,0.59709704,1.0
1892459642,589.03534,589.1886,374.15714,203.48814,-0.13841774,-0.04385323,-0.9894047,0.0,-0.25272858,0.9675087,-0.007526161,0.0,0.9575862,0.2490093,-0.14500335,0.0,-0.6202227,0.50927615,0.6037363,1.0
1892792842,589.03534,589.1886,374.15714,203.48814,-0.16226554,-0.039801363,-0.9859458,0.0,-0.25492942,0.96695596,0.002921205,0.0,0.95324874,0.25182083,-0.16705039,0.0,-0.6429155,0.5080585,0.6119193,1.0
1893126041,589.03534,589.1886,374.15714,203.48814,-0.18378256,-0.033913422,-0.98238367,0.0,-0.2623396,0.96484727,0.015770026,0.0,0.94731414,0.26061654,-0.18621896,0.0,-0.6660563,0.50534284,0.6217908,1.0
1893459241,589.03534,589.1886,374.15714,203.48814,-0.20207395,-0.025449984,-0.9790413,0.0,-0.2744617,0.9610773,0.031665973,0.0,0.94012743,0.27510837,-0.20119393,0.0,-0.68943655,0.5012694,0.63311493,1.0
1893792440,589.03534,589.1886,374.15714,203.48814,-0.21767497,-0.01177036,-0.9759517,0.0,-0.2839363,0.9574445,0.05178177,0.0,0.9338094,0.28837988,-0.2117539,0.0,-0.713005,0.4968729,0.64572954,1.0
1894125640,589.03534,589.1886,374.15714,203.48814,-0.23018569,0.0043174177,-0.97313905,0.0,-0.2836204,0.95628095,0.071330205,0.0,0.93090093,0.2924213,-0.21889761,0.0,-0.73669493,0.4928891,0.6594367,1.0
1894458839,589.03534,589.1886,374.15714,203.48814,-0.23885915,0.02011725,-0.97084725,0.0,-0.27808058,0.9564971,0.08823677,0.0,0.9303871,0.29105026,-0.22287416,0.0,-0.7602367,0.489086,0.6740196,1.0
1894792039,589.03534,589.1886,374.15714,203.48814,-0.2428005,0.034293555,-0.96947175,0.0,-0.2667052,0.9585036,0.10070112,0.0,0.93269444,0.28301367,-0.22357917,0.0,-0.78380644,0.4859779,0.6894897,1.0
1895125238,589.03534,589.1886,374.15714,203.48814,-0.24159077,0.044990297,-0.9693362,0.0,-0.2542835,0.96108305,0.107983425,0.0,0.93647015,0.27257425,-0.22074893,0.0,-0.8075439,0.4835577,0.70589525,1.0
1895458438,589.03534,589.1886,374.15714,203.48814,-0.23432311,0.052709702,-0.9707311,0.0,-0.24056107,0.9643321,0.11043113,0.0,0.9419266,0.2593967,-0.21328539,0.0,-0.83177555,0.48264545,0.7233169,1.0
1895791637,589.03534,589.1886,374.15714,203.48814,-0.22429824,0.06087985,-0.9726186,0.0,-0.2308373,0.9663245,0.113720246,0.0,0.9467877,0.25002423,-0.20269199,0.0,-0.8563944,0.48413968,0.7419387,1.0
1896124836,589.03534,589.1886,374.15714,203.48814,-0.21469995,0.073262125,-0.97393,0.0,-0.21860489,0.96827966,0.12102814,0.0,0.9519022,0.2388909,-0.19187456,0.0,-0.8816076,0.4902111,0.7625145,1.0
1896458036,589.03534,589.1886,374.15714,203.48814,-0.2101807,0.092081174,-0.97331786,0.0,-0.20365685,0.9695916,0.13570714,0.0,0.95621634,0.22674632,-0.18503672,0.0,-0.90682626,0.49887493,0.7840055,1.0
1896791236,589.03534,589.1886,374.15714,203.48814,-0.21205398,0.1187168,-0.9700216,0.0,-0.18505095,0.96975905,0.15913844,0.0,0.95957875,0.21324983,-0.18367288,0.0,-0.9310524,0.50739396,0.80547464,1.0
1897124435,589.03534,589.1886,374.15714,203.48814,-0.22056946,0.14595553,-0.96439064,0.0,-0.16280001,0.9693624,0.1839429,0.0,0.96169,0.19757532,-0.19005013,0.0,-0.9540637,0.5140463,0.82610583,1.0
1897457634,589.03534,589.1886,374.15714,203.48814,-0.23215163,0.16411331,-0.95873636,0.0,-0.13587645,0.9705281,0.19903369,0.0,0.96314347,0.17647599,-0.20301072,0.0,-0.9770233,0.51959956,0.8455345,1.0
