timestamp,sensor ticks 0,soc ticks 0,x 0,y 0,z 0,temperature 0,sensor ticks 1,soc ticks 1,x 1,y 1,z 1,temperature 1,sensor ticks 2,soc ticks 2,x 2,y 2,z 2,temperature 2,sensor ticks 3,soc ticks 3,x 3,y 3,z 3,temperature 3,sensor ticks 4,soc ticks 4,x 4,y 4,z 4,temperature 4,sensor ticks 5,soc ticks 5,x 5,y 5,z 5,temperature 5,sensor ticks 6,soc ticks 6,x 6,y 6,z 6,temperature 6,sensor ticks 7,soc ticks 7,x 7,y 7,z 7,temperature 7,sensor ticks 8,soc ticks 8,x 8,y 8,z 8,temperature 8,sensor ticks 9,soc ticks 9,x 9,y 9,z 9,temperature 9,sensor ticks 10,soc ticks 10,x 10,y 10,z 10,temperature 10,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
414309672483,56060710207,414309672483,372.1500244140625,473.1000061035156,-239.70001220703125,0.0,56080700918,414309672483,372.75,471.7500305175781,-242.10000610351562,0.0,56100702315,414309672483,372.45001220703125,471.45001220703125,-241.0500030517578,0.0,56120709826,414309672483,372.0,472.6500244140625,-241.20001220703125,0.0,56140726308,414309672483,372.45001220703125,472.20001220703125,-241.35000610351562,0.0,56160720465,414309672483,372.45001220703125,471.1500244140625,-241.8000030517578,0.0,56180702283,414309672483,373.6500244140625,470.70001220703125,-241.95001220703125,0.0,56200701728,414309672483,374.1000061035156,471.1500244140625,-241.8000030517578,0.0,56220711207,414309672483,372.9000244140625,470.70001220703125,-241.95001220703125,0.0,56240724943,414309672483,374.1000061035156,468.9000244140625,-240.3000030517578,0.0,56260715765,414309672483,372.1500244140625,471.45001220703125,-240.75001525878906,0.0,-0.0039799213,-0.90720737,0.42066512,0.0,-0.9991987,-0.013147235,-0.037806362,0.0,0.039828748,-0.42047846,-0.9064281,0.0,0.057766616,0.022936814,-0.10580424,1.0
414311815219,56280704379,414311815219,372.0,471.0000305175781,-240.90000915527344,0.0,56300703030,414311815219,372.75,472.20001220703125,-241.8000030517578,0.0,56320711557,414311815219,371.4000244140625,469.8000183105469,-241.35000610351562,0.0,56340747094,414311815219,373.3500061035156,471.3000183105469,-240.90000915527344,0.0,56360706857,414311815219,372.45001220703125,469.5000305175781,-241.0500030517578,0.0,56380706555,414311815219,370.6500244140625,469.3500061035156,-240.90000915527344,0.0,56400702347,414311815219,373.8000183105469,470.8500061035156,-241.0500030517578,0.0,56420701331,414311815219,373.3500061035156,471.0000305175781,-241.65000915527344,0.0,56440706206,414311815219,371.4000244140625,469.20001220703125,-239.70001220703125,0.0,56460705713,414311815219,372.3000183105469,469.6500244140625,-240.15000915527344,0.0,56480702982,414311815219,372.1500244140625,469.20001220703125,-240.00001525878906,0.0,-0.0038731098,-0.9139192,0.4058773,0.0,-0.99924374,-0.012164831,-0.036927834,0.0,0.03868656,-0.40571344,-0.91318095,0.0,0.05657579,0.026085414,-0.10486759,1.0
414314018687,56500711636,414314018687,372.75,468.9000244140625,-241.35000610351562,0.0,56520702426,414314018687,372.45001220703125,470.5500183105469,-241.35000610351562,0.0,56540770230,414314018687,370.95001220703125,468.7500305175781,-239.85000610351562,0.0,56560704602,414314018687,372.75,469.8000183105469,-241.8000030517578,0.0,56580702490,414314018687,371.8500061035156,470.5500183105469,-240.75001525878906,0.0,56600709064,414314018687,372.0,471.0000305175781,-241.65000915527344,0.0,56620701902,414314018687,372.75,470.8500061035156,-241.0500030517578,0.0,56640703395,414314018687,372.6000061035156,468.45001220703125,-239.85000610351562,0.0,56660713303,414314018687,373.0500183105469,469.5000305175781,-239.70001220703125,0.0,56680701855,414314018687,372.9000244140625,470.70001220703125,-240.60000610351562,0.0,56700709445,414314018687,373.95001220703125,471.0000305175781,-240.60000610351562,0.0,-0.0020141602,-0.9180551,0.39644805,0.0,-0.9993985,-0.011879683,-0.032586083,0.0,0.03462541,-0.39627516,-0.91747904,0.0,0.05718714,0.028284557,-0.10628024,1.0
414316216103,56720701553,414316216103,372.9000244140625,470.4000244140625,-241.20001220703125,0.0,56740702553,414316216103,373.6500244140625,469.6500244140625,-239.5500030517578,0.0,56760713907,414316216103,373.5,470.2500305175781,-241.0500030517578,0.0,56780700791,414316216103,372.3000183105469,469.0500183105469,-239.5500030517578,0.0,56800710969,414316216103,372.75,469.8000183105469,-240.00001525878906,0.0,56820701616,414316216103,374.1000061035156,469.20001220703125,-242.10000610351562,0.0,56840721338,414316216103,372.3000183105469,468.45001220703125,-240.15000915527344,0.0,56860709651,414316216103,373.6500244140625,470.1000061035156,-239.5500030517578,0.0,56880702379,414316216103,371.5500183105469,471.0000305175781,-241.20001220703125,0.0,56900710223,414316216103,373.3500061035156,471.3000183105469,-241.95001220703125,0.0,56920701601,414316216103,374.25,470.1000061035156,-241.65000915527344,0.0,-0.0036571026,-0.91477054,0.4039575,0.0,-0.999052,-0.014181972,-0.04115957,0.0,0.043380454,-0.40372506,-0.9138515,0.0,0.058406353,0.026968319,-0.109936446,1.0
414318416951,56940719290,414318416951,373.3500061035156,469.3500061035156,-240.60000610351562,0.0,56960706936,414318416951,374.1000061035156,470.5500183105469,-241.0500030517578,0.0,56980701855,414318416951,373.6500244140625,469.0500183105469,-241.65000915527344,0.0,57000703316,414318416951,372.1500244140625,469.20001220703125,-241.35000610351562,0.0,57020706333,414318416951,372.3000183105469,470.4000244140625,-240.15000915527344,0.0,57040739615,414318416951,371.5500183105469,470.4000244140625,-239.5500030517578,0.0,57060707682,414318416951,372.45001220703125,470.2500305175781,-240.75001525878906,0.0,57080701791,414318416951,373.5,470.2500305175781,-240.75001525878906,0.0,57100707889,414318416951,372.75,470.2500305175781,-241.35000610351562,0.0,57120701315,414318416951,372.9000244140625,470.4000244140625,-240.90000915527344,0.0,57140704284,414318416951,372.1500244140625,469.8000183105469,-241.35000610351562,0.0,-0.0042259693,-0.90805405,0.41883165,0.0,-0.9988019,-0.016587377,-0.046040148,0.0,0.04875423,-0.41852438,-0.9068961,0.0,0.057496756,0.024316935,-0.11281335,1.0
414320624762,57160704808,414320624762,372.1500244140625,471.7500305175781,-238.65000915527344,0.0,57180701775,414320624762,373.3500061035156,470.70001220703125,-239.5500030517578,0.0,57200703220,414320624762,373.5,471.1500244140625,-240.00001525878906,0.0,57220709477,414320624762,372.45001220703125,469.5000305175781,-240.00001525878906,0.0,57240703141,414320624762,372.45001220703125,470.2500305175781,-241.8000030517578,0.0,57260705983,414320624762,373.0500183105469,470.5500183105469,-241.8000030517578,0.0,57280702490,414320624762,372.3000183105469,471.3000183105469,-240.90000915527344,0.0,57300703157,414320624762,373.6500244140625,470.1000061035156,-242.70001220703125,0.0,57320711811,414320624762,372.9000244140625,470.70001220703125,-241.20001220703125,0.0,57340703522,414320624762,370.5,469.5000305175781,-241.0500030517578,0.0,57360705936,414320624762,374.1000061035156,469.8000183105469,-240.00001525878906,0.0,-0.0053640604,-0.9090549,0.41664153,0.0,-0.9984876,-0.01792717,-0.051970303,0.0,0.054713115,-0.41629022,-0.90758383,0.0,0.058216184,0.025062378,-0.114097856,1.0
414322815608,57380701664,414322815608,371.4000244140625,470.2500305175781,-242.10000610351562,0.0,57400702823,414322815608,371.1000061035156,470.8500061035156,-240.75001525878906,0.0,57420710271,414322815608,372.0,471.3000183105469,-240.60000610351562,0.0,57440702966,414322815608,372.3000183105469,470.70001220703125,-240.60000610351562,0.0,57460710795,414322815608,372.9000244140625,469.6500244140625,-240.15000915527344,0.0,57480702109,414322815608,372.6000061035156,470.4000244140625,-241.65000915527344,0.0,57500712684,414322815608,372.75,470.8500061035156,-238.95001220703125,0.0,57520712065,414322815608,372.0,470.4000244140625,-240.60000610351562,0.0,57540708190,414322815608,373.3500061035156,471.0000305175781,-238.50001525878906,0.0,57560740933,414322815608,373.0500183105469,468.9000244140625,-239.70001220703125,0.0,57580701505,414322815608,373.95001220703125,469.6500244140625,-238.8000030517578,0.0,-0.0028729439,-0.9102014,0.41415644,0.0,-0.9984527,-0.020389915,-0.05173661,0.0,0.05553527,-0.41366422,-0.90873456,0.0,0.05711086,0.02576441,-0.11365578,1.0
414325015958,57600701712,414325015958,372.45001220703125,469.8000183105469,-240.75001525878906,0.0,57620710112,414325015958,372.0,469.3500061035156,-241.20001220703125,0.0,57640714463,414325015958,374.1000061035156,470.5500183105469,-240.00001525878906,0.0,57660737440,414325015958,370.95001220703125,471.0000305175781,-240.60000610351562,0.0,57680700838,414325015958,372.75,471.1500244140625,-241.0500030517578,0.0,57700702903,414325015958,373.0500183105469,470.8500061035156,-240.75001525878906,0.0,57720709826,414325015958,372.6000061035156,470.1000061035156,-239.85000610351562,0.0,57740731660,414325015958,372.6000061035156,470.4000244140625,-240.15000915527344,0.0,57760725943,414325015958,372.3000183105469,468.45001220703125,-238.50001525878906,0.0,57780703760,414325015958,373.0500183105469,468.9000244140625,-241.35000610351562,0.0,57800703220,414325015958,372.1500244140625,468.9000244140625,-239.70001220703125,0.0,0.00014704466,-0.9157038,0.4018536,0.0,-0.9978416,-0.02652204,-0.06007108,0.0,0.065665305,-0.40097743,-0.9137312,0.0,0.054701447,0.028022047,-0.10899598,1.0
414327222801,57820711366,414327222801,372.0,468.45001220703125,-240.60000610351562,0.0,57840734677,414327222801,372.9000244140625,469.6500244140625,-238.0500030517578,0.0,57860718750,414327222801,372.75,468.3000183105469,-238.20001220703125,0.0,57880704649,414327222801,371.8500061035156,467.5500183105469,-240.00001525878906,0.0,57900704221,414327222801,372.3000183105469,469.6500244140625,-240.60000610351562,0.0,57920708984,414327222801,373.3500061035156,469.3500061035156,-240.90000915527344,0.0,57940702156,414327222801,371.8500061035156,469.5000305175781,-239.70001220703125,0.0,57960713303,414327222801,372.6000061035156,469.0500183105469,-240.15000915527344,0.0,57980705030,414327222801,372.3000183105469,469.0500183105469,-239.85000610351562,0.0,58000703681,414327222801,372.3000183105469,469.0500183105469,-241.20001220703125,0.0,58020711271,414327222801,372.1500244140625,469.5000305175781,-238.65000915527344,0.0,-0.013465643,-0.91207135,0.40981048,0.0,-0.99599946,-0.02397418,-0.08608334,0.0,0.088339016,-0.4093302,-0.90809965,0.0,0.05255501,0.027180396,-0.10090302,1.0
414329512371,58040703347,414329512371,372.9000244140625,469.6500244140625,-240.90000915527344,0.0,58060715749,414329512371,372.45001220703125,468.9000244140625,-239.25001525878906,0.0,58080705205,414329512371,372.0,470.1000061035156,-241.65000915527344,0.0,58100703014,414329512371,372.45001220703125,469.8000183105469,-240.75001525878906,0.0,58120711938,414329512371,372.9000244140625,468.7500305175781,-240.15000915527344,0.0,58140703379,414329512371,371.8500061035156,469.8000183105469,-241.0500030517578,0.0,58160721894,414329512371,371.8500061035156,469.5000305175781,-240.75001525878906,0.0,58180706142,414329512371,373.0500183105469,470.8500061035156,-241.0500030517578,0.0,58200701616,414329512371,373.8000183105469,470.5500183105469,-241.8000030517578,0.0,58220702347,414329512371,371.4000244140625,468.6000061035156,-241.35000610351562,0.0,58240705888,414329512371,372.9000244140625,469.0500183105469,-241.20001220703125,0.0,-0.033709407,-0.9000518,0.4344774,0.0,-0.9921116,-0.02238369,-0.12334326,0.0,0.12074052,-0.43520787,-0.8921974,0.0,0.05267422,0.02321808,-0.09241602,1.0
