timestamp,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
414301050114,-0.032904148,-0.8405438,0.54074377,0.0,-0.9962303,-0.015868425,-0.08528601,0.0,0.08026725,-0.5415115,-0.836853,0.0,0.05550824,0.0023554321,-0.11751778,1.0
414303050155,-0.03098321,-0.8337874,0.55121565,0.0,-0.9943405,-0.0303576,-0.1018108,0.0,0.101622194,-0.5512504,-0.82812786,0.0,0.06059222,-0.00058915373,-0.11405224,1.0
414305050197,-0.018176436,-0.85429394,0.51947224,0.0,-0.996366,-0.027763844,-0.08052209,0.0,0.08321212,-0.5190481,-0.85068476,0.0,0.06205952,0.005326775,-0.111254565,1.0
414307050238,-0.016330242,-0.88902754,0.4575628,0.0,-0.9982738,-0.011326075,-0.057633415,0.0,0.056420013,-0.45771402,-0.8873079,0.0,0.061686993,0.017172765,-0.10880022,1.0
414309050279,-0.0056700706,-0.9047581,0.4258881,0.0,-0.99914026,-0.012365341,-0.039570987,0.0,0.041068435,-0.4257463,-0.90391004,0.0,0.058361217,0.02190565,-0.10660203,1.0
414311050320,-0.004865527,-0.91194785,0.41027775,0.0,-0.99917316,-0.012129307,-0.03880903,0.0,0.04036814,-0.41012728,-0.9111347,0.0,0.057038218,0.025049161,-0.104910135,1.0
414313050360,-0.0016481876,-0.9165844,0.39983785,0.0,-0.9993906,-0.012431502,-0.0326176,0.0,0.03486739,-0.39964792,-0.91600525,0.0,0.05639769,0.027498242,-0.10523814,1.0
414315050401,-0.003974557,-0.91741776,0.39790592,0.0,-0.9992802,-0.011369109,-0.036193475,0.0,0.03772831,-0.3977633,-0.9167123,0.0,0.058194324,0.02817383,-0.1079472,1.0
414317050443,-0.0030517578,-0.91249424,0.4090783,0.0,-0.99889416,-0.016411543,-0.04405947,0.0,0.046917617,-0.40876037,-0.911435,0.0,0.057959735,0.025888473,-0.111336276,1.0
414319050484,-0.006087899,-0.90914255,0.4164404,0.0,-0.99863595,-0.016068459,-0.049678832,0.0,0.051856726,-0.4161748,-0.9078046,0.0,0.05794324,0.024850268,-0.113345675,1.0
414321050525,-0.004343033,-0.909649,0.41535518,0.0,-0.99853265,-0.018476129,-0.050904423,0.0,0.053979278,-0.41496676,-0.908234,0.0,0.05762583,0.025388518,-0.11397326,1.0
414323050567,-0.0033029318,-0.91052175,0.4134484,0.0,-0.9983876,-0.02042842,-0.052963868,0.0,0.05667074,-0.41295666,-0.9089861,0.0,0.057069063,0.025890011,-0.113437355,1.0
414325050608,0.00023049116,-0.9158387,0.401546,0.0,-0.9978336,-0.026626348,-0.060156703,0.0,0.0657856,-0.4006623,-0.9138608,0.0,0.05463302,0.028081965,-0.10887203,1.0
414327050647,-0.01147747,-0.9132168,0.40731204,0.0,-0.9962926,-0.024287224,-0.08252828,0.0,0.08525877,-0.40674925,-0.90955234,0.0,0.052483276,0.027557805,-0.10150802,1.0
414329050689,-0.030366898,-0.9031998,0.42814505,0.0,-0.9925642,-0.023265481,-0.11947887,0.0,0.117874265,-0.42858958,-0.8957772,0.0,0.053171247,0.024153566,-0.094289504,1.0
414331050730,-0.034191012,-0.8897917,0.4550841,0.0,-0.9916065,-0.026607752,-0.12652482,0.0,0.124689534,-0.45559037,-0.88141346,0.0,0.05077131,0.019304939,-0.08764523,1.0
414333050771,-0.02595222,-0.9079734,0.41822278,0.0,-0.9942459,-0.020050287,-0.10522717,0.0,0.10392909,-0.41854727,-0.90222836,0.0,0.04785025,0.024943134,-0.08352684,1.0
414335050812,-0.014826894,-0.9189808,0.39402395,0.0,-0.9968253,-0.017246246,-0.077732384,0.0,0.07822992,-0.39392546,-0.9158075,0.0,0.04394281,0.028481713,-0.08123078,1.0
414337050854,-0.010591984,-0.9195928,0.39273024,0.0,-0.9971183,-0.01979208,-0.0732359,0.0,0.07512009,-0.3923742,-0.91673326,0.0,0.042442203,0.027811306,-0.08106898,1.0
414339050894,-0.00083088875,-0.9138834,0.40597606,0.0,-0.9968187,-0.031598926,-0.07317127,0.0,0.07969837,-0.40474534,-0.9109498,0.0,0.040691093,0.025259767,-0.06823494,1.0
414341050935,-0.0062072277,-0.91777503,0.3970526,0.0,-0.9967307,-0.026309252,-0.07639451,0.0,0.08055909,-0.3962286,-0.9146111,0.0,0.043644324,0.024898592,-0.035189986,1.0
414343050977,-0.03962052,-0.87696403,0.4789202,0.0,-0.99386376,-0.014950395,-0.10959682,0.0,0.10327247,-0.48032364,-0.8709905,0.0,0.052812457,0.004645853,-0.010814282,1.0
414345051017,-0.034377337,-0.8335717,0.55134016,0.0,-0.9952036,-0.022000432,-0.09531659,0.0,0.09158312,-0.5519726,-0.8288171,0.0,0.051603347,-0.014415367,-0.003851392,1.0
414347051059,-0.019795656,-0.7888454,0.61427295,0.0,-0.99636364,-0.03536153,-0.077519655,0.0,0.0828726,-0.61357373,-0.7852769,0.0,0.044972017,-0.029773487,-0.017802877,1.0
414349051098,0.019483685,-0.76260734,0.6465682,0.0,-0.99671733,-0.06564212,-0.04738781,0.0,0.07858041,-0.6435224,-0.7613828,0.0,0.03307925,-0.039376117,-0.03919903,1.0
