timestamp,calibration valid,combined valid,combined origin x,combined origin y,combined origin z,combined direction x,combined direction y,combined direction z,left valid,left origin x,left origin y,left origin z,left direction x,left direction y,left direction z,right valid,right origin x,right origin y,right origin z,right direction x,right direction y,right direction z,left openness valid,left openness value,right openness valid,right openness value,vergence distance valid,vergence distance value,pose 00,pose 01,pose 02,pose 03,pose 10,pose 11,pose 12,pose 13,pose 20,pose 21,pose 22,pose 23,pose 30,pose 31,pose 32,pose 33
414315438532,True,True,0.036289543,-0.05983135,-0.04294254,-0.105276756,0.10107243,0.9892932,True,0.03453698,-0.014013144,-0.040974252,-0.11236271,0.044394884,0.992675,True,0.037223354,-0.082403675,-0.043817148,-0.114609785,0.13530773,0.9841526,False,0.0,False,0.0,False,0.0,-0.004255295,-0.91673076,0.39948297,0.0,-0.99922264,-0.011759162,-0.037628546,0.0,0.03919284,-0.39933252,-0.91596806,0.0,0.05839707,0.027851209,-0.10862078,1.0
414316105213,True,True,0.036363527,-0.061349254,-0.042975813,-0.11104907,0.10859617,0.9878637,True,0.034492258,-0.013971131,-0.040944442,-0.11859234,0.043366008,0.9919956,True,0.037219886,-0.08229943,-0.043765444,-0.12135906,0.14070769,0.982585,False,0.0,False,0.0,False,0.0,-0.0037682056,-0.9150996,0.40321025,0.0,-0.99907756,-0.013803601,-0.040664524,0.0,0.042777836,-0.40299153,-0.9142034,0.0,0.05843836,0.02710453,-0.10974463,1.0
414316438552,True,True,0.036366828,-0.06119982,-0.042951696,-0.113686554,0.10806141,0.98762244,True,0.03446866,-0.013909465,-0.040960856,-0.12032134,0.047946863,0.9915765,True,0.037207305,-0.08229973,-0.043788277,-0.12263515,0.13878691,0.98269975,False,0.0,False,0.0,False,0.0,-0.0035079718,-0.9141478,0.40536615,0.0,-0.99900144,-0.014852405,-0.042138815,0.0,0.044541746,-0.40510917,-0.91318285,0.0,0.058318585,0.026705574,-0.110305734,1.0
414316771894,True,True,0.036372747,-0.061000004,-0.042923287,-0.11709607,0.11005427,0.98700374,True,0.03446425,-0.013925923,-0.04093877,-0.12409003,0.045167655,0.9912424,True,0.03718314,-0.08228046,-0.043780386,-0.12708126,0.14006275,0.9819535,False,0.0,False,0.0,False,0.0,-0.0031539202,-0.913233,0.40742564,0.0,-0.9989373,-0.015857339,-0.043276563,0.0,0.04598227,-0.40712917,-0.9122124,0.0,0.05814156,0.026273469,-0.110868186,1.0
414317105233,True,True,0.03638308,-0.061216407,-0.042921834,-0.12064718,0.11183635,0.9863756,True,0.034412704,-0.013867478,-0.04102192,-0.12759206,0.048917312,0.99061966,True,0.037188493,-0.08226246,-0.043749455,-0.13036908,0.13980694,0.98155904,False,0.0,False,0.0,False,0.0,-0.003059268,-0.9123058,0.40949863,0.0,-0.9988876,-0.016482592,-0.044182718,0.0,0.04705769,-0.40917823,-0.9112406,0.0,0.05792521,0.025799824,-0.11142557,1.0
414317438572,True,True,0.036399014,-0.061782785,-0.04293855,-0.12273513,0.11329201,0.9859518,True,0.03439345,-0.013867352,-0.041024283,-0.12672605,0.048871294,0.99073315,True,0.037177254,-0.082240835,-0.043743864,-0.12923406,0.14195552,0.98140067,False,0.0,False,0.0,False,0.0,-0.003269434,-0.91081524,0.4128011,0.0,-0.9988605,-0.016679287,-0.04471329,0.0,0.047610864,-0.41247696,-0.9097228,0.0,0.05772248,0.02520654,-0.11189103,1.0
414317771913,True,True,0.036354654,-0.061087936,-0.042909387,-0.1191271,0.11270223,0.9864618,True,0.034392048,-0.01408257,-0.040761456,-0.11280366,0.053667895,0.9921669,True,0.037057832,-0.08233817,-0.044022165,-0.11497464,0.15742856,0.98081446,False,0.0,False,0.0,False,0.0,-0.0034606457,-0.9093316,0.41605812,0.0,-0.9988499,-0.016754746,-0.04492648,0.0,0.04782395,-0.41573507,-0.9082279,0.0,0.05754274,0.024660341,-0.112251624,1.0
414318105254,True,False,0.036354654,-0.061087936,-0.042909387,-0.1191271,0.11270223,0.9864618,False,0.034392048,-0.01408257,-0.040761456,-0.11280366,0.053667895,0.9921669,False,0.037057832,-0.08233817,-0.044022165,-0.11497464,0.15742856,0.98081446,False,0.0,False,0.0,False,0.0,-0.0035592318,-0.9083378,0.4182223,0.0,-0.998838,-0.016872406,-0.045145616,0.0,0.048063904,-0.417897,-0.9072223,0.0,0.057438165,0.02433659,-0.11252366,1.0
414318438593,True,True,0.029857531,-0.013542425,-0.04555224,-0.90758747,-0.13844778,0.39637995,True,0.029857539,-0.013542435,-0.045552235,-0.9075876,-0.13844776,0.39638004,False,0.037057832,-0.08233817,-0.044022165,-0.11497464,0.15742856,0.98081446,False,0.0,False,0.0,False,0.0,-0.0042772293,-0.9080593,0.41881967,0.0,-0.9987982,-0.016569376,-0.046125174,0.0,0.048824012,-0.41851363,-0.90689707,0.0,0.057507455,0.024326146,-0.11283317,1.0
414318771934,True,False,0.029857531,-0.013542425,-0.04555224,-0.90758747,-0.13844778,0.39637995,True,0.034036227,-0.01410467,-0.040819492,-0.14917202,0.046877716,0.9876995,True,0.036677003,-0.082384236,-0.044037938,-0.15054876,0.1481769,0.97743475,False,0.0,False,0.0,False,0.0,-0.005198717,-0.90862364,0.41758353,0.0,-0.9987251,-0.016250014,-0.047792196,0.0,0.050210834,-0.4172996,-0.9073808,0.0,0.05771172,0.024591407,-0.11311425,1.0
414319105274,True,True,0.03585194,-0.056019604,-0.042800937,-0.13607623,0.10772565,0.98482394,True,0.034228437,-0.013988303,-0.040932994,-0.13478425,0.05094691,0.98956436,True,0.036869437,-0.08236171,-0.043971628,-0.13666071,0.14313215,0.98022294,False,0.0,False,0.0,False,0.0,-0.006226182,-0.909225,0.41625872,0.0,-0.9986161,-0.016086102,-0.050073028,0.0,0.052223593,-0.41599438,-0.9078665,0.0,0.057994217,0.024890482,-0.11338874,1.0
414319771956,True,True,0.03599465,-0.058330644,-0.042872325,-0.13616072,0.11265438,0.9842607,True,0.03427044,-0.013907019,-0.04096679,-0.13574141,0.054648053,0.98923606,True,0.0369837,-0.0822799,-0.043867446,-0.13744202,0.14774756,0.9794285,False,0.0,False,0.0,False,0.0,-0.006618023,-0.90922165,0.41625983,0.0,-0.99843776,-0.017088413,-0.053199157,0.0,0.05548303,-0.41596156,-0.90768814,0.0,0.05840054,0.024966434,-0.11380486,1.0
414320105295,True,True,0.036034428,-0.0590318,-0.04288681,-0.13838555,0.11434872,0.9837549,True,0.034255035,-0.013859215,-0.041048534,-0.14081562,0.054182373,0.98855203,True,0.037002277,-0.08226162,-0.043771137,-0.14307673,0.14497751,0.97903556,False,0.0,False,0.0,False,0.0,-0.0065271854,-0.90918624,0.4163388,0.0,-0.99842024,-0.017311335,-0.053456396,0.0,0.055809155,-0.41602993,-0.907637,0.0,0.0584051,0.024989646,-0.11397761,1.0
414320438635,True,True,0.035930704,-0.056186855,-0.04276222,-0.13816608,0.10734043,0.984575,True,0.034283854,-0.013909654,-0.04099602,-0.13637957,0.051427014,0.98932093,True,0.037010033,-0.08228283,-0.043801658,-0.13857771,0.14479356,0.9797096,False,0.0,False,0.0,False,0.0,-0.005804658,-0.90905493,0.41663587,0.0,-0.9984568,-0.017742515,-0.05262296,0.0,0.05522932,-0.4162984,-0.90754914,0.0,0.058297694,0.024991853,-0.11407336,1.0
414320771975,True,True,0.03589801,-0.055157956,-0.042714782,-0.13857727,0.10602974,0.98465925,True,0.03429061,-0.013900458,-0.040996674,-0.13799019,0.054978203,0.9889065,True,0.037024956,-0.08228577,-0.04380099,-0.13991587,0.14700541,0.97918993,False,0.0,False,0.0,False,0.0,-0.0050326586,-0.90923834,0.41624573,0.0,-0.99851024,-0.018048048,-0.05149591,0.0,0.054334432,-0.41588473,-0.90779305,0.0,0.058125034,0.025122155,-0.11412629,1.0
414321105316,True,True,0.03588879,-0.054557223,-0.04268461,-0.13631546,0.09746391,0.9858594,True,0.0343582,-0.0141495215,-0.040995464,-0.1303845,0.02773513,0.99107546,True,0.037096158,-0.08245377,-0.043794427,-0.13284035,0.127782,0.9828658,False,0.0,False,0.0,False,0.0,-0.004225254,-0.90975904,0.4151149,0.0,-0.9985597,-0.018363357,-0.05040905,0.0,0.05348301,-0.41473007,-0.9083712,0.0,0.057930157,0.02534595,-0.11414989,1.0
414321438655,True,True,0.03588044,-0.054005794,-0.042655732,-0.13559416,0.09163774,0.9865175,True,0.034355246,-0.014115449,-0.041031245,-0.13269067,0.029660044,0.9907136,True,0.03713639,-0.082433015,-0.043728154,-0.13533987,0.12834299,0.9824516,False,0.0,False,0.0,False,0.0,-0.0033802986,-0.91018844,0.41418082,0.0,-0.99859583,-0.018824697,-0.049518228,0.0,0.052867725,-0.41376662,-0.90884674,0.0,0.057765856,0.025528552,-0.11417027,1.0
414321771995,True,True,0.035870347,-0.053422656,-0.042627387,-0.13449003,0.08691286,0.98709595,True,0.03436931,-0.014110404,-0.041041933,-0.13124382,0.030211274,0.99088967,True,0.037170485,-0.08244311,-0.043721613,-0.13342783,0.12747113,0.98282665,False,0.0,False,0.0,False,0.0,-0.0026845932,-0.91045415,0.41360146,0.0,-0.99858904,-0.01949501,-0.049395546,0.0,0.053035527,-0.4131505,-0.9091172,0.0,0.057318687,0.025719631,-0.11401551,1.0
414322105335,True,True,0.035883877,-0.053547695,-0.04263128,-0.13503668,0.08550752,0.98714405,True,0.034353063,-0.014106408,-0.041066553,-0.13462861,0.030031705,0.990441,True,0.03713873,-0.08248655,-0.04376321,-0.1370863,0.12211696,0.9830029,False,0.0,False,0.0,False,0.0,-0.0024330616,-0.9103531,0.41382536,0.0,-0.9985754,-0.019847393,-0.04953228,0.0,0.05330521,-0.4133563,-0.9090079,0.0,0.05722791,0.025704358,-0.11399327,1.0
414322438676,True,True,0.035902776,-0.053567663,-0.042626113,-0.13530515,0.08528758,0.9871264,True,0.034328353,-0.014097741,-0.04107654,-0.1342125,0.031148165,0.9904629,True,0.037109215,-0.08249409,-0.043792624,-0.13677062,0.12132704,0.98314476,False,0.0,False,0.0,False,0.0,-0.0025862455,-0.91003895,0.4145147,0.0,-0.99853194,-0.020077229,-0.050308093,0.0,0.054104626,-0.41403627,-0.908651,0.0,0.05717744,0.025658928,-0.11390699,1.0
414322772016,True,True,0.035903495,-0.05328087,-0.04261387,-0.13503435,0.08602797,0.9870991,True,0.03434418,-0.01410817,-0.041046117,-0.13316904,0.03523793,0.9904668,True,0.037107065,-0.08248591,-0.04385049,-0.13540511,0.12745282,0.9825585,False,0.0,False,0.0,False,0.0,-0.0028181076,-0.9101653,0.41423577,0.0,-0.9984628,-0.02036941,-0.051548585,0.0,0.055355474,-0.4137442,-0.9087088,0.0,0.057117313,0.025740054,-0.11369547,1.0
414323438696,True,True,0.035877265,-0.052139267,-0.042577516,-0.13501848,0.080429144,0.9875733,True,0.034367435,-0.014183018,-0.041095052,-0.1303122,0.023236606,0.99120075,True,0.03712523,-0.082577474,-0.043877963,-0.13321485,0.113328114,0.9845864,False,0.0,False,0.0,False,0.0,-0.0037931204,-0.9110239,0.41233605,0.0,-0.99826926,-0.020748854,-0.055026278,0.0,0.05868578,-0.41183114,-0.9093685,0.0,0.056913227,0.026114956,-0.11289135,1.0
414323772037,True,True,0.035909705,-0.05272185,-0.042606816,-0.1335717,0.07615781,0.9881086,True,0.034383826,-0.014202301,-0.04104858,-0.1292767,0.020841165,0.9913895,True,0.03711705,-0.08257201,-0.043879285,-0.1322213,0.113384284,0.9847139,False,0.0,False,0.0,False,0.0,-0.00378263,-0.91158843,0.41108674,0.0,-0.99817,-0.021368623,-0.05656974,0.0,0.060352683,-0.4105484,-0.9098394,0.0,0.05665782,0.026398912,-0.112300426,1.0
414324105376,True,True,0.035953782,-0.053585377,-0.04264961,-0.13195942,0.0777788,0.9881988,True,0.034399483,-0.014173245,-0.04106626,-0.12716109,0.023812838,0.9915963,True,0.037130028,-0.08255945,-0.043894276,-0.1301041,0.11483615,0.9848277,False,0.0,False,0.0,False,0.0,-0.0031319857,-0.9127329,0.40854502,0.0,-0.9980698,-0.022487044,-0.057889387,0.0,0.062024474,-0.4079377,-0.9109007,0.0,0.056263924,0.026826572,-0.11161672,1.0
